60,-10,0,15.2752523165195
60,-10,-0.4,15.1327459504216
60,-10,7.6,17.1464281994822
70,-10,20.8,24.6508958593124
70,-10,20.4,27.459060435492
80,-10,22,30.4138126514911
100,-10,25.2,36.5285276644616
100,-10,40,34.1565025531987
100,-10,36.4,36.8420050123949
100,-10,32.8,37.8065250100209
100,-10,31.2,36.0924738230378
100,-10,22.4,34.554305086342
120,-10,38,42.0317340430616
140,-10,39.2,42.8096562315871
200,-10,43.6,56.9268536515647
200,-10,54.8,66.2771956759387
200,-10,42.8,63.0158710167526
220,-10,57.2,84.2377587546108
250,-10,66,90.4157066001256
250,-10,79.6,91.7187730692759
250,0,74.4,102.878569196893
260,0,70.8,96.2167691552084
260,-10,67.2,92.8942050578686
260,-10,80,97.8093383408081
260,0,78.4,95.8592718520228
260,0,94.4,100.957086592935
260,-10,66.8,92.0923449587424
260,0,107.6,105.88043571249
270,0,65.2,88.1343671144615
